CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
40.0   ;Simon's Rock College of Bard                                     ;Great Barrington, Massachusetts                            ;Great Barrington                             ;Massachusetts        ;42.19358268        ;-73.36216339 ;2.0                         ;2.0                        ;4.0                       ;6.0
62.0   ;Pearl High School                                                ;Pearl, Mississippi                                         ;Pearl                                        ;Mississippi          ;32.27492783        ;-90.09470655 ;2.0                         ;2.0                        ;7.0                       ;9.0
251.0  ;Glendale, Arizona                                                ;Glendale, Arizona                                          ;Glendale                                     ;Arizona              ;33.5927            ;-112.163     ;4.0                         ;5.0                        ;0.0                       ;4.0
257.0  ;Pittsburgh, Pennsylvania                                         ;Pittsburgh, Pennsylvania                                   ;Pittsburgh                                   ;Pennsylvania         ;40.440625          ;-79.995886   ;6.0                         ;6.0                        ;3.0                       ;9.0
128.0  ;Oikos University                                                 ;Oakland, California                                        ;Oakland                                      ;California           ;37.79176806        ;-122.2153171 ;7.0                         ;7.0                        ;3.0                       ;10.0
290.0  ;Chelsea, MA empty apartment party shooting                       ;Chelsea, Massachusetts                                     ;Chelsea                                      ;Massachusetts        ;42.391764          ;-71.032828   ;1.0                         ;1.0                        ;6.0                       ;7.0
285.0  ;Arizona Family Murder                                            ;Phoenix, Arizona                                           ;Phoenix                                      ;Arizona              ;33.448377          ;-112.074037  ;4.0                         ;5.0                        ;0.0                       ;4.0
166.0  ;Florida State University                                         ;Tallahassee, Florida                                       ;Tallahassee                                  ;Florida              ;30.4549394         ;-84.25264151 ;0.0                         ;1.0                        ;3.0                       ;3.0
76.0   ;Fort Gibson Middle School                                        ;Fort Gibson, Oklahoma                                      ;Fort Gibson                                  ;Oklahoma             ;35.77669911        ;-95.25996596 ;0.0                         ;0.0                        ;4.0                       ;4.0
22.0   ;Palm Bay Shopping Centers                                        ;Palm Bay, Florida                                          ;Palm Bay                                     ;Florida              ;27.98388983        ;-80.66662713 ;6.0                         ;6.0                        ;14.0                      ;20.0
254.0  ;Woodbridge, Virginia                                             ;Woodbridge,  Virginia                                      ;Woodbridge                                   ;Virginia             ;38.6697            ;-77.3524     ;2.0                         ;2.0                        ;2.0                       ;4.0
284.0  ;Houston Drive-by                                                 ;Houston, Texas                                             ;Houston                                      ;Texas                ;29.760427          ;-95.369803   ;0.0                         ;0.0                        ;5.0                       ;5.0
160.0  ;Isla Vista                                                       ;Isla Vista, California                                     ;Isla Vista                                   ;California           ;34.4145857         ;-119.8581209 ;3.0                         ;7.0                        ;7.0                       ;10.0
93.0   ;Orange High School                                               ;Hillsborough, North Carolina                               ;Hillsborough                                 ;North Carolina       ;36.04099857        ;-79.09701201 ;1.0                         ;1.0                        ;2.0                       ;3.0
85.0   ;Windy City Core Supply Warehouse                                 ;Chicago, Illinois                                          ;Chicago                                      ;Illinois             ;41.83928045        ;-87.68818145 ;6.0                         ;7.0                        ;0.0                       ;6.0
81.0   ;Appalachian School of Law                                        ;Grundy, Virginia                                           ;Grundy                                       ;Virginia             ;37.27537712        ;-82.09877234 ;3.0                         ;3.0                        ;3.0                       ;6.0
173.0  ;Moscow                                                           ;Moscow, Idaho                                              ;Moscow                                       ;Idaho                ;46.73059479        ;-116.9990042 ;3.0                         ;3.0                        ;1.0                       ;4.0
88.0   ;Living Church of God                                             ;Brookfield, Wisconsin                                      ;Brookfield                                   ;Wisconsin            ;43.06396691        ;-88.12299758 ;7.0                         ;8.0                        ;4.0                       ;11.0
201.0  ;Indianapolis                                                     ;Indianapolis, Indiana                                      ;Indianapolis                                 ;Indiana              ;39.77725479        ;-86.14635359 ;0.0                         ;0.0                        ;5.0                       ;5.0
203.0  ;Phoenix                                                          ;Phoenix, Arizona                                           ;Phoenix                                      ;Arizona              ;33.57145875        ;-112.0904854 ;4.0                         ;5.0                        ;0.0                       ;4.0
280.0  ;Vallejo, CA car shooting                                         ;Vallejo, California                                        ;Vallejo                                      ;California           ;38.104086          ;-122.256637  ;2.0                         ;2.0                        ;2.0                       ;4.0
105.0  ;Carnation, Washington                                            ;Carnation, Washington                                      ;Carnation                                    ;Washington           ;47.64628742        ;-121.9088524 ;6.0                         ;6.0                        ;0.0                       ;6.0
31.0   ;Standard Gravure Corporation                                     ;Louisville, Kentucky                                       ;Louisville                                   ;Kentucky             ;38.249432          ;-85.726243   ;8.0                         ;9.0                        ;12.0                      ;20.0
